Job_title,Job_role,Company,Job_location,Job_summary,Post_date,Today,Job_salary,Job_url
Junior Data Engineer,Data Engineer,Red Analytica,"Ahmedabad, Gujarat",Junior Data Engineer (1-3 years)*.,EmployerActive 1 day ago,2023-03-19,"₹30,000 - ₹42,000 ",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=140
Big Data Engineer,Data Engineer,Firminiq systems,"Chandigarh, Chandigarh","Big data: 3 years (Required).
At least 3 years of experience: building business logic layers and back-end systems for high-volume data pipelines and backend…",PostedPosted 12 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=140
Data Engineer,Data Engineer,LiveLike,"Gurgaon District, Haryana","Experience in data management fundamentals and data principles.
Build reports and data visualizations, using data from the data warehouse and other sources.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=140
Graduate Engineer Trainee,Data Engineer,Beryl Systems,"Faridabad, Haryana","Upto INR 2,00,000 (For first six month).
BE/B.Tech/ME/M.Tech (in Computer Science or IT), MCA with minimum 60% aggregate and no backlogs.",PostedPosted 15 days ago,2023-03-19,"₹2,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=140
Data Engineer,Data Engineer,Zealsols,"Bengaluru, Karnataka",The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up -Designing…,EmployerActive 3 days ago,2023-03-19,"₹7,98,820 - ₹16,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=140
Data Science Engineer,Data Engineer,Tuebora,Remote,"Tuebora provides extensive medical, dental, and vision benefits to our employees and their families.
In addition, we offer generous holidays and vacation days…",PostedPosted 23 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=140
Big Data Engineer - Xebia,Data Engineer,Foraysoft,Delhi,Techno functional experience working with technical team (data engineering / data science) and the business (functional) teams.,PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=140
SAP PS COSULTANT,Data Engineer,Infosys Limited,"Pune, Maharashtra","Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant data •…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=140
GCP Data Engineers,Data Engineer,HIRINGNINJA,"Delhi, Delhi","Must have 2+ years of experience developing and deploying data pipelines.
Implement and control the flow of data to and from GCP.",EmployerActive 3 days ago,2023-03-19,"₹20,00,000 - ₹50,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=150
Sr. Data Engineer,Data Engineer,Lycus,"Bengaluru, Karnataka","You will be responsible for managing the data pipelines which are light in nature, enabling other teams to use the data metrics from data pipelines, handling…",PostedPosted 4 days ago,2023-03-19,"₹40,00,000 - ₹75,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=150
Data Engineer,Data Engineer,Hoolime,"Chandigarh, Chandigarh","1 - 2 years experience as a data engineer or in a similar role.
Strong experience in building and maintaining data pipelines.
Total work: 1 year (Preferred).",EmployerActive 4 days ago,2023-03-19,"₹4,60,000 - ₹6,40,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=150
AWS Cloud Engineer,Data Engineer,Infocodec solutions,Remote,"Understand and be able to write database scripts to validate and test data integrity and performance.
Take full ownership of the CI framework viz. design,…",EmployerActive 3 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=150
Big Data Engineer,Data Engineer,Variation Tecruite Pvt Ltd,"Remote in Delhi, Delhi+1 location","Flair for data, schema, data model, how to bring efficiency in big data related life cycle.
Evaluate big data technologies and prototype solutions to improve…",EmployerActive 11 days ago,2023-03-19,"₹25,00,000 - ₹30,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=150
Data Engineer - Big Query,Data Engineer,Covi-Sense,"Bengaluru, Karnataka","Load data into BigQuery using files or by streaming one record at a time.
Proficient in Big query, real work experience using Big query, familiar with GCP…",EmployerActive 3 days ago,2023-03-19,"₹55,000 - ₹60,000 ",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=150
Interface Engineer I,Data Engineer,Cerner Corporation,"Bengaluru, Karnataka","Perform data migration and conversion programs.
Test data migration and conversion programs.
Troubleshoot and resolve system interface issues.",PostedPosted 2 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=150
Data Engineer- Mumbai,Data Engineer,Cogoport,"Mumbai, Maharashtra","Find hidden patterns using data.
Prepare data for predictive and prescriptive modeling.
Cogoport is looking for a data enthusiast who is capable of building…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=150
Engineer III - Big Data - Hive/Pyspark,Data Engineer,Amex,"Gurgaon District, Haryana","Good experience in data programming and applications systems design and architecture is required.
Ability to design and develop optimized Data pipelines for…",PostedPosted 30 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=150
Python Spark Data Engineer,Data Engineer,Thinkreh,"Mumbai, Maharashtra","Telemetry data and various external data.
Large data set of data integration.
Develop Spark-based data Processing Pipeline to integrate on premise transactional…",PostedPosted 15 days ago,2023-03-19,"₹10,00,000 - ₹15,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=150
BeyondTrust - PAM Engineer,Data Engineer,Ericsson,"Gurgaon District, Haryana","Integration of multiple data sources and databases into one system.
We are now looking for a Security Engineer who will be working on trouble-shooting,…",PostedToday,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=150
Data Scientist 1,Data Engineer,PayPal,"Bengaluru, Karnataka+1 location","Develop and own data-driven risk decision strategies to support PayPal’s global financial business goals.
2+ years of work experience in relevant positions (e.g…",PostedPosted 8 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=150
SAP PS COSULTANT,Data Engineer,Infosys Limited,"Pune, Maharashtra","Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant data •…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=150
DevOps Engineer,Data Engineer,Sophos,India,"Facilitate, manage and communicate information related to environments - their current state, deployed versions and availability to developers, QA engineers and…",PostedPosted 1 day ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=150
Senior Data Engineer,Data Engineer,Mastercard,Delhi+1 location,Plays a lead role where he/she oversees the activities of the data engineers and ensures the efficient execution of their duties.,PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=150
Staff Data Engineer,Data Engineer,Visa,"Hybrid remote in Bengaluru, Karnataka","Collaborate with project teams, data science teams and development teams to drive the technical roadmap and guide development and implementation of new data…",PostedToday,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=160
Snowflake Data Engineer,Data Engineer,CloudAims Infotech,Remote,"Experienced Data Warehouse and Database developer with 5+ years of experience in relational database modeling, development and support.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=160
2B_Software Engineer Trainee (Pega)_2023,Data Engineer,Incedo,Delhi,"Implementation of application frameworks, and data Models by coordinating with Lead Developer.
Our uniqueness lies in bringing together strong engineering, data…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=160
Software Engineer (Applications),Data Engineer,Hewlett Packard Enterprise,"Bengaluru, Karnataka","Implementation, testing & troubleshooting of web applications.
Collaborate with a multi-region development team using agile methodologies.",PostedPosted 29 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=160
Data Engineer,Data Engineer,GE Appliances,"Hyderabad, Telangana","3+ years IT experience, preferably in DW Business Intelligence DW area • Experience with SQL and data analysis • Ability to elicit requirements and perform data…",PostedPosted 8 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=160
GCP Data Engineer,Data Engineer,Change Leaders Consulting,"Gurgaon, Haryana","JOB DESCRIPTION GCP Data Engineer Experience: 4-9 years Locations: Bangalore,Pune and Chennai Primary Skills: GCP, Bigquery, Java, SQL,Apache Beam,python…",EmployerActive 8 days ago,2023-03-19,"₹6,57,793 - ₹30,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=160
Data Science Engineer,Data Engineer,Tuebora,Remote,"Tuebora provides extensive medical, dental, and vision benefits to our employees and their families.
In addition, we offer generous holidays and vacation days…",PostedPosted 23 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=160
GIS Engineer,Data Engineer,ALM Interactive Soft Sol Pvt Ltd,"Bengaluru, Karnataka","Spatial data management, Infrastructure setup & support, participate in deploying GIS technologies.
Experience with technical support of GIS products like Esri…",PostedPosted 30+ days ago,2023-03-19,"₹4,000 - ₹8,00",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=160
Data Analytics Engineer,Data Engineer,Oski Technology,"Pune, Maharashtra","Work with various teams to support ad hoc data usage, improve high volume data infrastructure by automating data processing rules, troubleshooting data issue.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=160
Senior Data Engineer,Data Engineer,PayU,"Remote in Bengaluru, Karnataka","Critical experience performance optimization for both data loading and data ingestion.
Demonstrated experience of production experience in big data…",PostedPosted 4 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=160
SAP PS COSULTANT,Data Engineer,Infosys Limited,"Pune, Maharashtra","Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant data •…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=160
Data Engineer,Data Engineer,WARPE TRAINING AND COUNSULTING,"Chennai, Tamil Nadu",*Responsible for expanding and optimizing data and data pipeline architecture as well as optimizing data flow and collection for cross functional utilization.*.,PostedPosted 15 days ago,2023-03-19,"₹9,00,632 - ₹22,29,561",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=160
Game Tester,Data Engineer,WinZO,"New Delhi, Delhi","Computer Science fundamentals in object-oriented design, data structures, algorithm design and problem solving.
Review the assigned part of the game.",EmployerActive 4 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=160
Data Engineer,Data Engineer,Helius Technologies,India+1 location,"Perform all needed data cleansing and transformation to improve data quality.
Knowledge of electronic trading and tick data.
Works well in a team.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=160
Data Warehouse Engineer,Data Engineer,Noesys software Pvt Ltd,"J. P. Nagar, Bengaluru, Karnataka","Added Advantage for data warehouse architect Certification.
Designing the data warehouse initiatives and data warehousing systems also recommend measures to…",EmployerActive 3 days ago,2023-03-19,"₹15,00,000 - ₹20,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=160
Lead Data Engineer - Talend,Data Engineer,Enquero Inc,"Remote in Bengaluru, Karnataka","Follow standard practices and procedures in analyzing situations or data from which answers can readily be obtained.
Experience on ETL tool Talend,.",PostedPosted 1 day ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=170
Data Engineer- Mumbai,Data Engineer,Cogoport,"Mumbai, Maharashtra","Find hidden patterns using data.
Prepare data for predictive and prescriptive modeling.
Cogoport is looking for a data enthusiast who is capable of building…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=170
Data Engineer - Big Query,Data Engineer,Covi-Sense,"Bengaluru, Karnataka","Load data into BigQuery using files or by streaming one record at a time.
Proficient in Big query, real work experience using Big query, familiar with GCP…",EmployerActive 3 days ago,2023-03-19,"₹55,000 - ₹60,000 ",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=170
Sr. Engineer - Knowledge / Data Management,Data Engineer,Faurecia,"Chakan, Pune, Maharashtra","Developing and maintaining databases, data systems – reorganizing data in a readable format.
Working with stakeholders, engineers, and management heads to…",PostedPosted 3 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=170
Test Engineer (Manual Testing),Data Engineer,Landmark Health Technologies,"Bengaluru, Karnataka","Participate in preparing Test Plans.
Test Cases for module, integration and system testing.
Test Data for the test cases.
Analyze and execute Test Cases.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=170
Data Engineer,Data Engineer,WARPE TRAINING AND COUNSULTING,"Chennai, Tamil Nadu",*Responsible for expanding and optimizing data and data pipeline architecture as well as optimizing data flow and collection for cross functional utilization.*.,PostedPosted 15 days ago,2023-03-19,"₹9,00,632 - ₹22,29,561",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=170
Data Engineer,Data Engineer,GKN Aerospace,"Bengaluru, Karnataka","Familiarity with data modeling, data warehousing, and data lake architectures.
Experience with big data technologies and cloud-based data platforms.",PostedPosted 24 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=170
SAS Data Engineer/ Data Analyst,Data Engineer,Exusia,Remote,"Data profiling and cleaning data for data analysis.
Interpret data, analyse results, prepare data analysis reports.
Strong SQL & PL/SQL skills.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=170
Data Engineer,Data Engineer,The Modern Data Company,Remote,"To create solutions for ingesting and transforming customers’ data.
Create a structural approach by breaking down complex data transformation jobs.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=170
Data Engineer,Data Engineer,LTIMindtree,India,"Training and testing Dailogflow Model.
Consuming Dailog flow APIs within .",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=170
Data Analytics Engineer,Data Engineer,Oski Technology,"Pune, Maharashtra","Work with various teams to support ad hoc data usage, improve high volume data infrastructure by automating data processing rules, troubleshooting data issue.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=170
SAP PS COSULTANT,Data Engineer,Infosys Limited,"Pune, Maharashtra","Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant data •…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=170
Backend Engineer,Data Engineer,Appveen,"Remote in Bengaluru, Karnataka","Understanding and implementation of security and data protection.
Appveen is a cloud and enterprise software organization focusing on enabling financial…",PostedPosted 30+ days ago,2023-03-19,"From ₹15,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=170
Founding Team Fullstack Intern Full time,Data Engineer,Datazip,"Bengaluru, Karnataka","Your main job will be to get already present best in class open source tools, and modify them to fit the use cases in scalable, secure & observable manner.",PostedPosted 9 days ago,2023-03-19,"₹20,000 - ₹40,000 ",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=170
Data Science Engineer (Intern),Data Engineer,Stylumia Intelligence Technology,"Bengaluru, Karnataka","Good with Python and Object Oriented Programming.
Strong Exploratory Data Analysis (EDA) & Problem Solving skills.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=170
Junior Data Engineer,Data Engineer,SmartInternz,"Hyderabad, Telangana","Proficient in Python/Pyspark/Scala.
Knowledge on DataBases(SQL,MySql etc) and cloud.
Kafka/Flume/Kinesis/Data Streaming.",PostedPosted 30+ days ago,2023-03-19,"₹3,00,000 - ₹5,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=180
Product Data Engineer,Data Engineer,Maybank,"Bengaluru, Karnataka","Experience in data modelling and data query tools like Hive, SparkSQL and ANSI SQL.
Development and implementation of group data warehouse.",PostedPosted 2 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=180
CFD Engineer,Data Engineer,Praan,"Mumbai, Maharashtra","Simulate client sites through real world data.
Generate feasibility reports and work alongside mechanical design engineers on design improvements.",PostedPosted 1 day ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=180
Cloud Data Engineer,Data Engineer,HP,"Bengaluru, Karnataka","Responsible for designing, developing and managing activities for a specific software product or group of products from product definition and planning through…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=180
Machine Learning Engineer (Remote),Data Engineer,MonetizeMore,"Remote in New Delhi, Delhi","Ability to perform exploratory data analysis on data to form hypothesis.
This new-age work lifestyle would enable you to engineer your ideal lifestyle.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=180
Data Engineer,Data Engineer,KRS Manpower Solutions Private Limited,"Remote in Badshahpur, Haryana","Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
The Data Engineer will support our software developers, database…",PostedPosted 30+ days ago,2023-03-19,"Up to ₹30,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=180
Clinical Data Engineer - Remote India,Data Engineer,PHASTAR,Remote,"Experience in creating data integrity and data quality checks for data ingestion.
Coordinates with data base builders, clinical data configuration specialists…",PostedPosted 7 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=180
Senior Software Engineer,Data Engineer,ICON,Remote,"You will play an important role in mentoring junior engineers.
As a Senior Software Engineer, you will have a key role in the design and implementation of…",PostedPosted 2 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=180
Full-Stack Software Engineer/REMOTE,Data Engineer,ONEcount,Remote,"We are a US-based company looking for full-time remote software engineers.
We run our powerful, SAAS platform from dual data centers for ultimate redundancy and…",PostedPosted 1 day ago,2023-03-19,"₹10,00,000 - ₹30,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=180
Data Engineer,Data Engineer,Michelin,"Pune, Maharashtra","Identifies the source of physical data.
Completes and executes data collection procedures.
Deploys data collection infrastructure and procedures.",PostedPosted 2 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=180
Network Analyst/Network Engineer,Data Engineer,TheHive,Remote," Procedures and policies, based on experience and industry best practice, will be developed to quickly resolve all incidents and introduce cost-effective…",PostedPosted 15 days ago,2023-03-19,"₹1,00,000 - ₹2,00,000 ",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=180
Senior Data Engineer,Data Engineer,Infonet Technologies (India) Pvt Ltd,"Delhi, Delhi","Experience building and optimizing data pipelines, architectures and data sets.
Knowledge of any BI tool preferably DOMO.
Strong problem-solving skills.",PostedPosted 2 days ago,2023-03-19,"₹8,00,000 - ₹12,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=180
Data Engineer,Data Engineer,Bombay Play,"Bengaluru, Karnataka","Experience building and optimizing big data data pipelines, architectures and data sets.
The Data Engineer will support our software developers, database…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=180
Software Engineer,Data Engineer,Vidatt Data Analytics,"Bengaluru, Karnataka","Develop quality software and web applications.
Analyze and maintain existing software applications.
Design highly scalable, testable code.",PostedPosted 10 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=180
SAP PS COSULTANT,Data Engineer,Infosys Limited,"Pune, Maharashtra","Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant data •…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=180
GCP Data Engineer - INDIA,Data Engineer,Veridic Solutions,Remote,"Big data, Java, Python,.
Experience with Google Cloud Platform (GCP) products including BigQuery, Cloud Storage, Cloud Functions, DataProc, DataStudio.",EmployerActive 17 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=190
Data Engineer Analyst,Data Engineer,SBI Mutual Fund,"Mumbai, Maharashtra","Using techniques from a range of disciplines, including computer programming, mathematics, and statistics, as a data analyst you will have to draw conclusions…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=190
AWS Cloud Engineer,Data Engineer,Infocodec solutions,Remote,"Understand and be able to write database scripts to validate and test data integrity and performance.
Take full ownership of the CI framework viz. design,…",EmployerActive 3 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=190
Snowflake Data Engineer,Data Engineer,CloudAims Infotech,Remote,"Experienced Data Warehouse and Database developer with 5+ years of experience in relational database modeling, development and support.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=190
DevOps Engineer,Data Engineer,Sophos,India,"Facilitate, manage and communicate information related to environments - their current state, deployed versions and availability to developers, QA engineers and…",PostedPosted 1 day ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=190
Data Engineer II,Data Engineer,Microsoft,"Bengaluru, Karnataka","Implements scalable data models, data pipelines, data storage, management, and transformation solutions.
Hands-on experience with big data technologies as well…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=190
Data Engineer,Data Engineer,way to job placement,"Chennai, Tamil Nadu","Adept understanding of various data science approaches, machine learning algorithms, and statistical methods.
Develop and enhance algorithms and models to solve…",EmployerActive 5 days ago,2023-03-19,"₹6,58,343 - ₹20,72,355",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=190
Senior Data Engineer,Data Engineer,CognitivZen Technologies,"Hyderabad, Telangana","Understand big-data principles and best practices.
Establish data model design based on business requirements.
Hiring for Azure Data Engineer.",PostedPosted 30+ days ago,2023-03-19,"₹6,53,187 - ₹20,62,479",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=190
Data Engineer,Data Engineer,IBM,Delhi+1 location,"Ability to lead Data transformation project with multiple junior data engineers.
Demonstrate understanding in data architectures, modern data platforms, big…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=190
Junior Engineer,Data Engineer,"Cornerstone OnDemand, Inc.",Remote,"Cornerstone takes special care to ensure the security and privacy of the data of its users.
Cornerstone’s L1 team provides proactive high-touch customer support…",PostedPosted 8 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=190
Drive Test Engineer,Data Engineer,METRO TELWORKS,Maharashtra,"Both for voice and data( 2G/3G/LTE ) as per Test plan.
 Bench mark drive test the assigned Network area both for Voice and data ( 2G/3G/LTE) as per plan on 24…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=190
Data Engineer,Data Engineer,Fubo India,"Bengaluru, Karnataka",This is an excellent opportunity for an engineer that enjoys solving business-critical data and distributed systems engineering problems.,PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=190
SAP PS COSULTANT,Data Engineer,Infosys Limited,"Pune, Maharashtra","Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant data •…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=190
Big Data Engineer,Data Engineer,High Technologies Solutions,"Kalkaji Devi, Delhi","Training staff on data resource management.
Loading disparate data sets and conducting pre-processing services using Hive or Pig.",PostedPosted 30+ days ago,2023-03-19,"₹17,518 - ₹55,208 ",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=190
Data engineer,Data Engineer,L&T Technology Services Ltd.,"Hyderabad, Telangana","Mentor other engineers, with sharp analytical abilities, and proven design skills.
Secondary Skill : Unix & PL-SQL.
Awareness of AWS ecosystem is an advantage.",Hiring ongoing,2023-03-19,"From ₹90,000 ",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=190
Data Engineer - Mulesoft,Data Engineer,Wabtec,"Remote in Bengaluru, Karnataka","So, managing all data assets including Master data domains are critical.
Design, develop, test and maintain APIs to facilitate data integration.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=200
Data Engineer: Enterprise Content Management,Data Engineer,IBM,"Bengaluru, Karnataka+3 locations","To think along with clients and sell.
Identification and driving of related service quality improvements and engineering deliverables.",PostedPosted 5 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=200
Big data Test Engineer,Data Engineer,Talent Folks,"Pune, Maharashtra","Manual testing/Big data: 5 years (Required).
Good knowledge of Big Data technologies, preferably Hadoop, Spark, Hive.
Understanding of databases and SQL.",PostedPosted 3 days ago,2023-03-19,"₹10,00,000 - ₹30,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=200
SR. LEAD DATA ENGINEER,Data Engineer,Virtue Tech Inc,Remote,ob Category: Information Technology Job Type: Full Time Job Location:,PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=200
DevOps Engineer,Data Engineer,RChilli Inc.,Remote,"Developing and implementing security protocols and policies to ensure data protection and compliance.
As a DevOps Engineer in a SaaS company, your primary…",PostedPosted 1 day ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=200
DevOps Engineer,Data Engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Monitor JIRA databases and copy data from PROD to TEST instance, when requested.
Run and operate devOps toolchain platforms ( JIRA & Confluence tools ) to meet…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=200
Machine Learning Engineer,Data Engineer,Tookitaki Holding PTE LTD,Remote in India,"Work closely with data scientists, engineers and product managers to deliver the end-to-end product.
Build a united big data processing and feature engineering…",EmployerActive 23 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=200
Data Engineer,Data Engineer,Evolutyz - India,"Visakhapatnam, Andhra Pradesh","Experience building and optimizing 'big data' data pipelines, architectures, and data sets.
Knowledge of message queuing, stream processing, and highly scalable…",PostedPosted 1 day ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=200
Senior Data Engineer,Data Engineer,Principal Global Services,"Remote in Pune, Maharashtra","Ability to optimize data for analytics and data science.
Experience with a variety of data modeling techniques and data structures.",PostedPosted 2 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=200
Data Engineer - Cloud,Data Engineer,Fidelity International,Delhi,"The candidate should be expert in functional data architecture & design, including data modelling.
Knowledge of tools used for design specifications, data…",PostedPosted 4 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=200
Technical Support Engineer,Data Engineer,IBM,"Bengaluru, Karnataka+2 locations",The engineer will be responsible for troubleshooting customer issues with IBM Engineering Lifecycle Management in particular the ELM Solutions and will need a…,PostedPosted 3 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=200
Data Visualization Engineer,Data Engineer,Ataloud Technologies,Remote,"Familiarity with JSON and similar data formats.
We, at Ataloud are looking for a Data Visualization engineer who can design and develop visualization tools and…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=200
